ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History
2483,2466,90,180,0
4917,0,130,360,0
4106,0,40,180,1
3859,3300,142,180,1
6417,0,157,180,1
14583,0,185,180,1
9328,0,188,180,1
9323,7873,380,300,1
4885,0,48,360,1
3975,2531,55,360,1
2507,0,56,360,1
2213,0,66,360,1
2900,0,71,360,1
2920,16.12000084,87,360,1
3158,3053,89,360,1
2666,2083,95,360,1
5677,1424,100,360,1
2045,1619,101,360,1
2583,2167,104,360,1
2600,1700,107,360,1
1782,2232,107,360,1
6250,1300,108,360,1
3232,1950,108,360,1
3902,1666,109,360,1
3691,0,110,360,1
3833,0,110,360,1
4652,0,110,360,1
2785,2016,110,360,1
2253,2033,110,360,1
3812,0,112,360,1
1025,2773,112,360,1
3095,0,113,360,1
3497,1964,116,360,1
4191,0,120,360,1
7200,0,120,360,1
3704,2000,120,360,1
5819,5000,120,360,1
2666,4300,121,360,1
5488,0,125,360,1
2833,1857,126,360,1
2439,3333,129,360,1
5703,0,130,360,1
3466,1210,130,360,1
8750,4996,130,360,1
1958,2436,131,360,1
5000,0,132,360,1
3762,1666,135,360,1
4354,0,136,360,1
5829,0,138,360,1
7142,0,138,360,1
3075,2416,139,360,1
6000,0,140,360,1
4000,2500,140,360,1
6822,0,141,360,1
2526,1783,145,360,1
16525,1014,150,360,1
3466,3428,150,360,1
4095,3447,151,360,1
2577,3750,152,360,1
3015,2188,153,360,1
4350,0,154,360,1
2768,1950,155,360,1
3987,1411,157,360,1
4167,1447,158,360,1
5532,4648,162,360,1
8333,3167,165,360,1
5500,1260,170,360,1
3676,4301,172,360,1
2500,4600,176,360,1
9963,0,180,360,1
7901,1833,180,360,1
9167,0,185,360,1
9508,0,187,360,1
8333,3750,187,360,1
2625,6250,187,360,1
4300,2014,194,360,1
6400,0,200,360,1
5923,2054,211,360,1
3510,4416,243,360,1
3083,0,255,360,1
9504,0,275,360,1
15000,0,300,360,1
17500,0,400,360,1
7948,7166,480,360,1
645,3683,113,480,1
39999,0,600,180,0
2137,8980,137,360,0
5285,1430,161,360,0
4923,0,166,360,0
3326,913,105,84,1
3459,0,25,120,1
3620,0,25,120,1
3000,3416,56,180,1
4600,0,73,180,1
1993,1625,113,180,1
4188,0,115,180,1
4608,2845,140,180,1
6950,0,175,180,1
6250,5654,188,180,1
2661,7101,279,180,1
3500,0,81,300,1
3814,1483,124,300,1
